"Index","DJI.Open","DJI.High","DJI.Low","DJI.Close","DJI.Volume","DJI.Adjusted"
"2008-01-02",13044,13044,13044,13044,0,13044
"2008-01-03",13056.700195,13056.700195,13056.700195,13056.700195,0,13056.700195
"2008-01-04",12800.200195,12800.200195,12800.200195,12800.200195,0,12800.200195
"2008-01-07",12827.5,12827.5,12827.5,12827.5,0,12827.5
"2008-01-08",12589.099609,12589.099609,12589.099609,12589.099609,0,12589.099609
"2008-01-09",12735.299805,12735.299805,12735.299805,12735.299805,0,12735.299805
"2008-01-10",12853.099609,12853.099609,12853.099609,12853.099609,0,12853.099609
"2008-01-11",12606.299805,12606.299805,12606.299805,12606.299805,0,12606.299805
"2008-01-14",12778.200195,12778.200195,12778.200195,12778.200195,0,12778.200195
"2008-01-15",12501.099609,12501.099609,12501.099609,12501.099609,0,12501.099609
"2008-01-16",12466.200195,12466.200195,12466.200195,12466.200195,0,12466.200195
"2008-01-17",12159.200195,12159.200195,12159.200195,12159.200195,0,12159.200195
"2008-01-18",12099.299805,12099.299805,12099.299805,12099.299805,0,12099.299805
"2008-01-22",11971.200195,11971.200195,11971.200195,11971.200195,0,11971.200195
"2008-01-23",12270.200195,12270.200195,12270.200195,12270.200195,0,12270.200195
"2008-01-24",NA,NA,NA,NA,NA,NA
"2008-01-25",12207.200195,12207.200195,12207.200195,12207.200195,0,12207.200195
"2008-01-28",12383.900391,12383.900391,12383.900391,12383.900391,0,12383.900391
"2008-01-29",12480.299805,12480.299805,12480.299805,12480.299805,0,12480.299805
"2008-01-30",12442.799805,12442.799805,12442.799805,12442.799805,0,12442.799805
"2008-01-31",12650.400391,12650.400391,12650.400391,12650.400391,0,12650.400391
"2008-02-01",12743.200195,12743.200195,12743.200195,12743.200195,0,12743.200195
"2008-02-04",12635.200195,12635.200195,12635.200195,12635.200195,0,12635.200195
"2008-02-05",12265.099609,12265.099609,12265.099609,12265.099609,0,12265.099609
"2008-02-06",12200.099609,12200.099609,12200.099609,12200.099609,0,12200.099609
"2008-02-07",12247,12247,12247,12247,0,12247
"2008-02-08",12182.099609,12182.099609,12182.099609,12182.099609,0,12182.099609
"2008-02-11",12240,12240,12240,12240,0,12240
"2008-02-12",12373.400391,12373.400391,12373.400391,12373.400391,0,12373.400391
"2008-02-13",12552.200195,12552.200195,12552.200195,12552.200195,0,12552.200195
"2008-02-14",12377,12377,12377,12377,0,12377
"2008-02-15",12348.200195,12348.200195,12348.200195,12348.200195,0,12348.200195
"2008-02-19",12337.200195,12337.200195,12337.200195,12337.200195,0,12337.200195
"2008-02-20",12427.299805,12427.299805,12427.299805,12427.299805,0,12427.299805
"2008-02-21",12284.299805,12284.299805,12284.299805,12284.299805,0,12284.299805
"2008-02-22",12381,12381,12381,12381,0,12381
"2008-02-25",12570.200195,12570.200195,12570.200195,12570.200195,0,12570.200195
"2008-02-26",12684.900391,12684.900391,12684.900391,12684.900391,0,12684.900391
"2008-02-27",12694.299805,12694.299805,12694.299805,12694.299805,0,12694.299805
"2008-02-28",12582.200195,12582.200195,12582.200195,12582.200195,0,12582.200195
"2008-02-29",12266.400391,12266.400391,12266.400391,12266.400391,0,12266.400391
"2008-03-03",NA,NA,NA,NA,NA,NA
"2008-03-04",12213.799805,12213.799805,12213.799805,12213.799805,0,12213.799805
"2008-03-05",12255,12255,12255,12255,0,12255
"2008-03-06",12040.400391,12040.400391,12040.400391,12040.400391,0,12040.400391
"2008-03-07",11893.700195,11893.700195,11893.700195,11893.700195,0,11893.700195
"2008-03-10",11740.200195,11740.200195,11740.200195,11740.200195,0,11740.200195
"2008-03-11",12156.799805,12156.799805,12156.799805,12156.799805,0,12156.799805
"2008-03-12",12110.200195,12110.200195,12110.200195,12110.200195,0,12110.200195
"2008-03-13",NA,NA,NA,NA,NA,NA
"2008-03-14",11951.099609,11951.099609,11951.099609,11951.099609,0,11951.099609
"2008-03-17",11972.200195,11972.200195,11972.200195,11972.200195,0,11972.200195
"2008-03-18",12392.700195,12392.700195,12392.700195,12392.700195,0,12392.700195
"2008-03-19",12099.700195,12099.700195,12099.700195,12099.700195,0,12099.700195
